"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 14:07:45 GMT 2024","Wed May 22 14:07:49 GMT 2024","4778","chromium","Dharitree Allure ","SubSuite","","","Verify Login success","This test attempts to log into the website using a login

Note that smoke test"
"passed","Wed May 22 14:07:49 GMT 2024","Wed May 22 14:07:55 GMT 2024","5463","chromium","Dharitree Allure ","SubSuite","","","Verify Home page",""
