"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 17:45:58 GMT 2024","Thu May 23 17:46:03 GMT 2024","4761","chromium","Dharitree Allure ","SubSuite","","","Verify Login success","This test attempts to log into the website using a login

Note that smoke test"
"passed","Thu May 23 17:46:03 GMT 2024","Thu May 23 17:46:08 GMT 2024","4998","chromium","Dharitree Allure ","SubSuite","","","Verify Home page",""
