"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 13:52:20 GMT 2024","Wed May 22 13:52:26 GMT 2024","5647","chromium","Dharitree Allure ","SubSuite","","","Verify Home page",""
"passed","Wed May 22 13:52:15 GMT 2024","Wed May 22 13:52:20 GMT 2024","5294","chromium","Dharitree Allure ","SubSuite","","","Verify Login success","This test attempts to log into the website using a login

Note that smoke test"
