"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 18:07:40 GMT 2024","Thu May 23 18:07:45 GMT 2024","4988","chromium","Dharitree Allure ","SubSuite","","","Verify Login success","This test attempts to log into the website using a login

Note that smoke test"
"passed","Thu May 23 18:07:45 GMT 2024","Thu May 23 18:07:50 GMT 2024","5412","chromium","Dharitree Allure ","SubSuite","","","Verify Home page",""
