"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 05:12:21 GMT 2024","Thu May 23 05:12:21 GMT 2024","152","chromium","","","","","parallel - TF #1 - TC #4",""
"passed","Thu May 23 05:12:21 GMT 2024","Thu May 23 05:12:21 GMT 2024","148","chromium","","","","","parallel - TF #1 - TC #2",""
"passed","Thu May 23 05:12:20 GMT 2024","Thu May 23 05:12:21 GMT 2024","275","chromium","","","","","parallel - TF #1 - TC #1",""
"passed","Thu May 23 05:12:21 GMT 2024","Thu May 23 05:12:21 GMT 2024","147","chromium","","","","","parallel - TF #1 - TC #3",""
