"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 09:35:31 GMT 2024","Thu May 23 09:35:37 GMT 2024","6313","chromium","Dharitree Allure ","SubSuite","","","Verify Home page",""
"passed","Thu May 23 09:35:25 GMT 2024","Thu May 23 09:35:31 GMT 2024","5893","chromium","Dharitree Allure ","SubSuite","","","Verify Login success","This test attempts to log into the website using a login

Note that smoke test"
